Model year,Make,Model,Vehicle class,Motor (kW),Transmission,Fuel type,City (kWh/100 km),Highway (kWh/100 km),Combined (kWh/100 km),City (Le/100 km),Highway (Le/100 km),Combined (Le/100 km),Range (km),Recharge time (h),Energy Efficiency (km/kWh),City Efficiency (km/kWh),Highway Efficiency (km/kWh),power_efficiency_ratio,City_power_efficiency_ratio,Highway_power_efficiency_ratio,charging_speed
2020,Tesla,"Model Y Performance (21"" Wheels)",Sport utility vehicle: Small,358,A1,B,18.1,19.8,18.9,2.0,2.2,2.1,468,10.0,5.291005291005291,5.524861878453038,5.05050505050505,67.66199999999999,64.79800000000002,70.884,46.8
2020,Volkswagen,e-Golf,Compact,100,A1,B,17.4,19.9,18.6,1.9,2.3,2.1,198,5.3,5.376344086021505,5.74712643678161,5.025125628140704,18.6,17.4,19.9,37.35849056603774
2021,Audi,e-tron 55 quattro,Sport utility vehicle: Standard,300,A1,B,26.9,27.0,27.0,3.0,3.0,3.0,357,10.0,3.7037037037037037,3.717472118959108,3.7037037037037037,81.0,80.7,81.0,35.7
2021,Audi,e-tron Sportback 55 quattro,Sport utility vehicle: Standard,300,A1,B,27.6,27.0,27.3,3.1,3.0,3.1,351,10.0,3.663003663003663,3.623188405797101,3.7037037037037037,81.9,82.80000000000001,81.0,35.1
2021,BMW,i3 (120 Ah),Subcompact,125,A1,B,16.8,20.6,18.5,1.9,2.3,2.1,246,7.0,5.405405405405405,5.9523809523809526,4.854368932038835,23.125,21.0,25.750000000000004,35.142857142857146
2021,BMW,i3s (120 Ah),Subcompact,135,A1,B,16.8,20.6,18.5,1.9,2.3,2.1,246,7.0,5.405405405405405,5.9523809523809526,4.854368932038835,24.975,22.68,27.810000000000002,35.142857142857146
2021,Chevrolet,Bolt EV,Station wagon: Small,150,A1,B,16.5,19.5,17.8,1.9,2.2,2.0,417,10.0,5.617977528089887,6.0606060606060606,5.128205128205129,26.700000000000003,24.75,29.249999999999996,41.7
2021,Ford,Mustang Mach-E Standard Range,Station wagon: Small,198,A1,B,19.9,22.4,21.0,2.2,2.5,2.4,370,8.8,4.761904761904762,5.025125628140704,4.464285714285714,41.58,39.401999999999994,44.352,42.04545454545454
2021,Ford,Mustang Mach-E Standard Range AWD,Station wagon: Small,198,A1,B,21.0,24.5,22.6,2.4,2.7,2.5,340,8.5,4.424778761061947,4.761904761904762,4.081632653061225,44.748000000000005,41.58,48.51,40.0
2021,Ford,"Mustang Mach-E Extended Range (19"" Wheels)",Station wagon: Small,216,A1,B,20.2,23.2,21.5,2.3,2.6,2.4,483,10.9,4.651162790697675,4.9504950495049505,4.310344827586207,46.44,43.632,50.111999999999995,44.31192660550459
2021,Ford,Mustang Mach-E Extended Range AWD,Station wagon: Small,258,A1,B,21.8,25.0,23.2,2.4,2.8,2.6,435,10.7,4.310344827586207,4.587155963302752,4.0,59.855999999999995,56.244,64.5,40.65420560747664
2021,Ford,Mustang Mach-E California Route 1,Station wagon: Small,216,A1,B,19.4,22.3,20.7,2.2,2.5,2.3,491,11.4,4.830917874396135,5.154639175257732,4.484304932735426,44.711999999999996,41.903999999999996,48.168000000000006,43.07017543859649
2021,Ford,Mustang Mach-E GT Performance Edition,Station wagon: Small,358,A1,B,23.8,27.8,25.6,2.7,3.1,2.9,418,10.1,3.90625,4.201680672268908,3.597122302158273,91.648,85.204,99.524,41.38613861386139
2021,Hyundai,IONIQ Electric,Mid-size,100,A1,B,14.5,17.4,15.8,1.6,1.9,1.8,274,5.8,6.329113924050633,6.896551724137931,5.74712643678161,15.8,14.500000000000002,17.4,47.241379310344826
2021,Hyundai,Kona Electric,Sport utility vehicle: Small,150,A1,B,16.2,19.3,17.4,1.8,2.2,2.0,415,9.0,5.74712643678161,6.172839506172839,5.181347150259067,26.099999999999998,24.3,28.950000000000003,46.111111111111114
2021,Kia,Niro EV,Station wagon: Small,150,A1,B,17.0,20.6,18.6,1.9,2.3,2.1,385,9.5,5.376344086021505,5.882352941176471,4.854368932038835,27.900000000000002,25.499999999999996,30.900000000000002,40.526315789473685
2021,Kia,Soul EV (120 Ah),Station wagon: Small,150,A1,B,15.6,20.4,17.8,1.8,2.3,2.0,248,6.0,5.617977528089887,6.410256410256411,4.901960784313726,26.700000000000003,23.4,30.599999999999998,41.333333333333336
2021,Kia,Soul EV (180 Ah),Station wagon: Small,150,A1,B,16.9,21.0,18.7,1.9,2.4,2.1,383,9.5,5.347593582887701,5.91715976331361,4.761904761904762,28.05,25.349999999999998,31.5,40.31578947368421
2021,MINI,Cooper SE 3 Door,Subcompact,135,A1,B,18.2,20.9,19.4,2.0,2.3,2.2,177,4.0,5.154639175257732,5.4945054945054945,4.784688995215311,26.189999999999998,24.57,28.215,44.25
2021,Nissan,LEAF (40 kWh),Mid-size,110,A1,B,17.0,21.2,18.9,1.9,2.4,2.1,240,8.0,5.291005291005291,5.882352941176471,4.716981132075472,20.79,18.7,23.32,30.0
2021,Nissan,LEAF S PLUS,Mid-size,160,A1,B,17.8,21.5,19.5,2.0,2.4,2.2,363,11.0,5.128205128205129,5.617977528089887,4.651162790697675,31.199999999999996,28.480000000000004,34.4,33.0
2021,Nissan,LEAF SV/SL PLUS,Mid-size,160,A1,B,18.3,22.1,20.0,2.1,2.5,2.2,349,11.0,5.0,5.46448087431694,4.524886877828054,32.0,29.28,35.36,31.727272727272727
2021,Polestar,2,Mid-size,300,A1,B,21.9,23.9,22.8,2.5,2.7,2.6,375,8.0,4.385964912280701,4.566210045662101,4.184100418410042,68.4,65.7,71.7,46.875
